EmployeeID,Department,JobRole,Age,MonthlyIncome,YearsAtCompany,OverTime,Attrition,AttritionProbability,RiskLevel,ModelVersion,EngagementScore,PerformanceRating,SkillGapCount,SkillGapScore,SkillGaps,TopMissingSkill,Recommendation,CourseTitle,Provider,DurationHours,Priority,EngagementBand
1,Sales,Sales Executive,41,5993,6,Yes,Yes,0.8875,HIGH,v1,53.3,3,14,51.62,"Microsoft PowerPoint, Microsoft Office, Salesforce, Microsoft Outlook, Active Listening",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,9.45,Moderate
2,Research & Development,Research Scientist,49,5130,10,No,No,0.0926,LOW,v1,51.7,4,12,46.23,"R, Writing, Science, Speaking, Active Learning",R,Learn R,Statistical Programming in R,Coursera,24,6.75,Moderate
4,Research & Development,Laboratory Technician,37,2090,0,Yes,Yes,0.8391,HIGH,v1,61.7,3,13,45.99,"Microsoft Excel, Microsoft Office, Reading Comprehension, Active Listening, SAP",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
5,Research & Development,Research Scientist,33,2909,8,Yes,No,0.337,LOW,v1,73.4,3,9,34.12,"R, Microsoft Office, Reading Comprehension, Mathematics, MATLAB",R,Learn R,Statistical Programming in R,Coursera,24,6.75,High
7,Research & Development,Laboratory Technician,27,3468,2,No,No,0.6407,HIGH,v1,46.7,3,12,39.99,"Reading Comprehension, Active Listening, Microsoft PowerPoint, Microsoft Word, MEDITECH",Reading Comprehension,Learn Reading Comprehension,Business Writing for Clarity,LinkedIn Learning,8,7.875,Moderate
8,Research & Development,Laboratory Technician,32,3068,7,No,No,0.1418,LOW,v1,78.3,3,12,41.12,"Microsoft Excel, Reading Comprehension, Active Listening, SAP, Microsoft PowerPoint",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,High
10,Research & Development,Laboratory Technician,59,2670,1,Yes,No,0.5555,MEDIUM,v1,43.3,4,11,36.87,"Microsoft Office, Active Listening, Microsoft Word, MEDITECH, Microsoft Outlook",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,7.762,Moderate
11,Research & Development,Laboratory Technician,30,2693,1,No,No,0.461,MEDIUM,v1,70.0,4,9,31.25,"Microsoft Excel, Reading Comprehension, SAP, Microsoft PowerPoint, MEDITECH",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,High
12,Research & Development,Manufacturing Director,38,9526,9,No,No,0.2085,LOW,v1,61.7,4,10,38.76,"Microsoft PowerPoint, Microsoft Excel, Microsoft Outlook, Reading Comprehension, Active Listening",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,6.75,Moderate
13,Research & Development,Healthcare Representative,36,5237,7,No,No,0.19,LOW,v1,58.4,3,9,32.13,"Microsoft Office, Active Listening, Reading Comprehension, Microsoft Azure, Amazon Web Services (AWS)",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
14,Research & Development,Laboratory Technician,35,2426,5,No,No,0.1992,LOW,v1,51.7,3,9,30.24,"Microsoft Excel, Active Listening, MEDITECH, Microsoft Outlook, Speaking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
15,Research & Development,Laboratory Technician,29,4193,9,Yes,No,0.4395,MEDIUM,v1,68.3,3,12,42.87,"Microsoft Excel, Microsoft Office, Reading Comprehension, Active Listening, SAP",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,Moderate
16,Research & Development,Research Scientist,31,2911,5,No,No,0.3503,MEDIUM,v1,51.7,3,12,47.11,"Microsoft Excel, R, Writing, Speaking, Active Learning",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,Moderate
18,Research & Development,Laboratory Technician,34,2661,2,No,No,0.1756,LOW,v1,70.0,3,12,40.37,"Microsoft Office, Reading Comprehension, Microsoft PowerPoint, MEDITECH, Google Docs",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,High
19,Research & Development,Laboratory Technician,28,2028,4,Yes,Yes,0.9654,HIGH,v1,55.0,3,13,44.62,"Microsoft Excel, Microsoft Office, Reading Comprehension, Microsoft PowerPoint, MEDITECH",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
20,Research & Development,Manufacturing Director,29,9980,10,No,No,0.2376,LOW,v1,48.3,3,8,31.5,"SAP, Microsoft Office, Microsoft Outlook, Reading Comprehension, Active Learning",SAP,Learn SAP,Enterprise Resource Planning Essentials,SAP,24,6.75,Moderate
21,Research & Development,Research Scientist,32,3298,6,Yes,No,0.1084,LOW,v1,50.0,3,11,43.37,"Microsoft Excel, R, Writing, Science, Critical Thinking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
22,Research & Development,Laboratory Technician,22,2935,1,Yes,No,0.4901,MEDIUM,v1,83.3,3,13,44.37,"Microsoft Excel, Active Listening, SAP, Microsoft PowerPoint, Microsoft Word",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,High
23,Sales,Manager,53,15427,25,No,No,0.025,LOW,v1,55.0,3,5,19.0,"Microsoft Excel, Active Listening, Adobe Acrobat, Adobe Photoshop, Autodesk AutoCAD",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
24,Research & Development,Research Scientist,38,3944,3,Yes,No,0.4021,MEDIUM,v1,83.4,3,11,42.37,"Microsoft Excel, R, Writing, Reading Comprehension, Active Listening",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,High
26,Research & Development,Manufacturing Director,24,4011,4,No,No,0.0083,LOW,v1,60.0,3,13,49.88,"Microsoft PowerPoint, Microsoft Excel, Microsoft Outlook, Monitoring, Speaking",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,6.75,Moderate
27,Sales,Sales Representative,36,3407,5,No,Yes,0.7299,HIGH,v1,35.0,4,11,37.38,"Speaking, IBM SPSS Statistics, Microsoft PowerPoint, Microsoft Word, HubSpot",Speaking,Learn Speaking,Listening and Influence at Work,LinkedIn Learning,6,8.148,Low
28,Research & Development,Research Director,34,11994,12,No,No,0.0211,LOW,v1,43.3,3,10,36.88,"Science, Active Listening, Speaking, Writing, Microsoft Project",Science,Learn Science,Scientific Method in Practice,edX,14,6.18,Moderate
30,Research & Development,Research Scientist,21,1232,0,No,No,0.424,MEDIUM,v1,80.0,3,11,43.62,"Microsoft Excel, R, Microsoft Office, Science, Critical Thinking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,High
31,Research & Development,Research Scientist,34,2960,4,No,Yes,0.3895,MEDIUM,v1,40.0,3,14,54.61,"Microsoft Excel, R, Microsoft Office, Writing, Science",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,Moderate
32,Research & Development,Manager,53,19094,14,No,No,0.0149,LOW,v1,65.0,3,9,32.12,"Microsoft PowerPoint, Active Learning, Apple macOS, Atlassian JIRA, Atlassian Confluence",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,6.75,Moderate
33,Research & Development,Research Scientist,32,3919,10,Yes,Yes,0.9018,HIGH,v1,20.0,4,7,27.74,"Microsoft Excel, Speaking, Active Learning, Critical Thinking, Active Listening",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Low
35,Sales,Sales Executive,42,6825,9,No,No,0.1262,LOW,v1,60.0,3,7,26.12,"Microsoft Excel, Microsoft Outlook, Adobe Creative Cloud, Adobe InDesign, Critical Thinking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
36,Research & Development,Healthcare Representative,44,10248,22,No,No,0.0703,LOW,v1,58.3,3,6,21.62,"Microsoft Outlook, Google Workspace, Linux, Apache Hadoop, Microsoft Access",Microsoft Outlook,Learn Microsoft Outlook,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
38,Sales,Manager,46,18947,2,No,No,0.3507,MEDIUM,v1,38.3,3,8,28.38,"Monitoring, Critical Thinking, Apple macOS, Atlassian Confluence, Google Analytics",Monitoring,Learn Monitoring,Performance Tracking and Review,LinkedIn Learning,6,6.9,Low
39,Research & Development,Laboratory Technician,33,2496,1,No,No,0.4915,MEDIUM,v1,80.0,3,14,45.74,"Reading Comprehension, Active Listening, SAP, MEDITECH, Google Docs",Reading Comprehension,Learn Reading Comprehension,Business Writing for Clarity,LinkedIn Learning,8,6.469,High
40,Research & Development,Healthcare Representative,44,6465,4,Yes,No,0.0304,LOW,v1,91.7,3,8,30.0,"Salesforce, Speaking, Active Listening, Reading Comprehension, Active Learning",Salesforce,Learn Salesforce,Managing the Customer Pipeline,Trailhead,16,6.75,High
41,Research & Development,Laboratory Technician,30,2206,10,No,No,0.4459,MEDIUM,v1,58.3,3,11,38.87,"Microsoft Excel, Microsoft Office, Reading Comprehension, Microsoft Word, MEDITECH",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,Moderate
42,Sales,Sales Representative,39,2086,1,No,Yes,0.1726,LOW,v1,88.3,3,9,31.88,"Salesforce, Active Listening, Reading Comprehension, IBM SPSS Statistics, Microsoft Word",Salesforce,Learn Salesforce,Managing the Customer Pipeline,Trailhead,16,6.75,High
45,Research & Development,Research Scientist,24,2293,2,Yes,Yes,0.754,HIGH,v1,58.3,3,11,42.99,"Microsoft Excel, Microsoft Office, Writing, Speaking, Active Learning",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
46,Research & Development,Research Scientist,43,2645,5,No,No,0.0059,LOW,v1,80.0,3,10,39.48,"Microsoft Excel, R, Science, Speaking, Active Learning",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,High
47,Sales,Sales Representative,50,2683,3,Yes,Yes,0.8825,HIGH,v1,45.0,3,15,54.12,"Microsoft Excel, Microsoft Office, Salesforce, Reading Comprehension, IBM SPSS Statistics",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
49,Sales,Sales Representative,35,2014,2,No,No,0.2657,LOW,v1,76.7,3,8,29.64,"Salesforce, Speaking, Active Listening, Reading Comprehension, Microsoft Word",Salesforce,Learn Salesforce,Managing the Customer Pipeline,Trailhead,16,6.75,High
51,Research & Development,Research Scientist,36,3419,1,Yes,No,0.7234,HIGH,v1,40.0,3,14,53.23,"Microsoft Office, Writing, Science, Speaking, Active Learning",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,9.45,Moderate
52,Sales,Sales Executive,33,5376,5,No,No,0.1641,LOW,v1,48.3,3,8,30.24,"Microsoft PowerPoint, Microsoft Office, Salesforce, Adobe Creative Cloud, Adobe InDesign",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,6.75,Moderate
53,Research & Development,Laboratory Technician,35,1951,1,No,No,0.2751,LOW,v1,76.7,3,16,55.24,"Microsoft Excel, Microsoft Office, Reading Comprehension, Active Listening, SAP",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,High
54,Research & Development,Laboratory Technician,27,2341,1,No,No,0.219,LOW,v1,56.7,3,8,27.12,"Microsoft Office, Active Listening, Google Docs, Microsoft Outlook, Electronic Medical Record (EMR)",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
55,Research & Development,Laboratory Technician,26,2293,1,No,Yes,0.9465,HIGH,v1,31.7,3,10,32.12,"Active Listening, SAP, Microsoft Word, MEDITECH, Monitoring",Active Listening,Learn Active Listening,Running Effective Remote Meetings,LinkedIn Learning,6,7.602,Low
56,Sales,Sales Executive,27,8726,9,No,No,0.3186,LOW,v1,76.7,3,8,30.12,"Microsoft Excel, Salesforce, Speaking, Adobe Creative Cloud, Adobe InDesign",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,High
57,Research & Development,Laboratory Technician,30,4011,12,No,No,0.2329,LOW,v1,80.0,4,4,13.0,"Google Docs, Microsoft PowerPoint, Active Learning, Monitoring",Google Docs,Learn Google Docs,Business Documents That Get Read,LinkedIn Learning,8,5.25,High
58,Research & Development,Research Director,41,19545,22,No,Yes,0.1453,LOW,v1,63.4,3,7,26.38,"Microsoft Office, Monitoring, Writing, Microsoft SharePoint, Microsoft Visio",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
60,Sales,Sales Executive,34,4568,9,No,No,0.2364,LOW,v1,60.0,4,12,42.62,"Microsoft Office, Salesforce, Speaking, Active Listening, Adobe Creative Cloud",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
61,Research & Development,Research Scientist,37,3022,1,No,No,0.6447,HIGH,v1,43.3,4,14,53.23,"R, Writing, Science, Speaking, Active Learning",R,Learn R,Statistical Programming in R,Coursera,24,9.45,Moderate
62,Sales,Sales Executive,46,5772,9,Yes,No,0.702,HIGH,v1,63.4,4,7,23.5,"Speaking, Active Listening, Adobe Illustrator, Reading Comprehension, Writing",Speaking,Learn Speaking,Listening and Influence at Work,LinkedIn Learning,6,8.4,Moderate
63,Research & Development,Laboratory Technician,35,2269,1,No,No,0.0741,LOW,v1,95.0,3,13,45.5,"Microsoft Excel, Microsoft Office, Reading Comprehension, SAP, Microsoft PowerPoint",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,High
64,Research & Development,Laboratory Technician,48,5381,1,Yes,Yes,0.9471,HIGH,v1,48.3,3,16,54.87,"Microsoft Excel, Microsoft Office, Active Listening, SAP, Microsoft PowerPoint",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
65,Research & Development,Laboratory Technician,28,3441,2,Yes,Yes,0.8874,HIGH,v1,61.7,3,8,28.0,"Microsoft Excel, Microsoft Office, MEDITECH, Microsoft Outlook, Electronic Medical Record (EMR)",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
68,Sales,Sales Executive,44,5454,4,Yes,No,0.6037,HIGH,v1,35.0,4,9,33.0,"Microsoft PowerPoint, Salesforce, Microsoft Outlook, Adobe Creative Cloud, Adobe InDesign",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,9.45,Low
70,Research & Development,Healthcare Representative,35,9884,4,Yes,No,0.2711,LOW,v1,38.3,3,14,50.5,"Microsoft Excel, Speaking, Active Listening, Reading Comprehension, Amazon Web Services (AWS)",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Low
72,Sales,Sales Executive,26,4157,2,Yes,No,0.9239,HIGH,v1,63.3,3,8,28.87,"Microsoft Excel, Speaking, Active Listening, Adobe Photoshop, Reading Comprehension",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
73,Research & Development,Research Director,33,13458,15,Yes,No,0.3757,MEDIUM,v1,63.4,3,9,32.88,"Critical Thinking, Reading Comprehension, Speaking, Microsoft SharePoint, ESRI ArcGIS",Critical Thinking,Learn Critical Thinking,Structured Problem Solving,Coursera,12,6.9,Moderate
74,Sales,Sales Executive,35,9069,9,No,No,0.458,MEDIUM,v1,38.3,4,9,33.13,"Microsoft PowerPoint, Salesforce, Speaking, Active Listening, Critical Thinking",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,7.762,Low
75,Research & Development,Laboratory Technician,35,4014,2,Yes,No,0.786,HIGH,v1,46.7,3,8,26.62,"Microsoft Excel, Microsoft PowerPoint, MEDITECH, Speaking, Monitoring",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
76,Research & Development,Laboratory Technician,31,5915,7,No,No,0.0537,LOW,v1,81.7,4,7,24.37,"Microsoft Office, Active Listening, SAP, Google Docs, Critical Thinking",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,High
77,Research & Development,Manufacturing Director,37,5993,7,No,No,0.0293,LOW,v1,50.0,3,14,53.01,"Microsoft PowerPoint, Microsoft Office, Monitoring, Critical Thinking, Reading Comprehension",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,6.75,Moderate
78,Research & Development,Manufacturing Director,32,6162,9,Yes,No,0.4883,MEDIUM,v1,60.0,4,13,51.51,"SAP, Microsoft PowerPoint, Microsoft Excel, Microsoft Office, Microsoft Outlook",SAP,Learn SAP,Enterprise Resource Planning Essentials,SAP,24,7.762,Moderate
79,Research & Development,Laboratory Technician,38,2406,10,No,No,0.6823,HIGH,v1,86.7,3,10,33.87,"Microsoft Office, Active Listening, Microsoft PowerPoint, Microsoft Word, MEDITECH",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,9.45,High
80,Research & Development,Research Director,50,18740,27,Yes,No,0.5832,HIGH,v1,50.0,3,10,38.5,"Microsoft Office, Science, Monitoring, Critical Thinking, Reading Comprehension",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,9.45,Moderate
