EmployeeID,Department,JobRole,MissingSkill,Importance
1,Sales,Sales Executive,Microsoft PowerPoint,4.5
1,Sales,Sales Executive,Microsoft Office,4.5
1,Sales,Sales Executive,Salesforce,4.5
1,Sales,Sales Executive,Microsoft Outlook,4.5
1,Sales,Sales Executive,Active Listening,4.0
1,Sales,Sales Executive,Speaking,4.0
1,Sales,Sales Executive,Adobe Creative Cloud,3.5
1,Sales,Sales Executive,Adobe Photoshop,3.5
1,Sales,Sales Executive,Adobe Illustrator,3.5
1,Sales,Sales Executive,Reading Comprehension,3.38
1,Sales,Sales Executive,Writing,3.25
1,Sales,Sales Executive,Monitoring,3.12
1,Sales,Sales Executive,Active Learning,3.12
1,Sales,Sales Executive,Mathematics,2.25
2,Research & Development,Research Scientist,R,4.5
2,Research & Development,Research Scientist,Writing,4.25
2,Research & Development,Research Scientist,Science,4.12
2,Research & Development,Research Scientist,Speaking,4.12
2,Research & Development,Research Scientist,Active Learning,4.12
2,Research & Development,Research Scientist,Critical Thinking,4.0
2,Research & Development,Research Scientist,Mathematics,3.62
2,Research & Development,Research Scientist,MATLAB,3.5
2,Research & Development,Research Scientist,IBM SPSS Statistics,3.5
2,Research & Development,Research Scientist,Python,3.5
2,Research & Development,Research Scientist,Adobe Photoshop,3.5
2,Research & Development,Research Scientist,Microsoft Project,3.5
4,Research & Development,Laboratory Technician,Microsoft Excel,4.5
4,Research & Development,Laboratory Technician,Microsoft Office,4.5
4,Research & Development,Laboratory Technician,Reading Comprehension,3.75
4,Research & Development,Laboratory Technician,Active Listening,3.62
4,Research & Development,Laboratory Technician,SAP,3.5
4,Research & Development,Laboratory Technician,Microsoft Word,3.5
4,Research & Development,Laboratory Technician,MEDITECH,3.5
4,Research & Development,Laboratory Technician,Google Docs,3.5
4,Research & Development,Laboratory Technician,Microsoft Outlook,3.5
4,Research & Development,Laboratory Technician,Speaking,3.12
4,Research & Development,Laboratory Technician,Electronic Medical Record (EMR),3.0
4,Research & Development,Laboratory Technician,Science,3.0
