EmployeeID,SkillName,SkillType,AcquiredVia,ProficiencyLevel
1,Adobe Acrobat,Software Skill,Role,3
1,Adobe InDesign,Software Skill,Role,3
1,Critical Thinking,Essential Skill,Role,3
1,Microsoft Access,Software Skill,Transferable,2
1,Microsoft Excel,Software Skill,Role,2
1,Microsoft SharePoint,Software Skill,Transferable,2
2,Active Listening,Essential Skill,Role,3
2,ESRI ArcGIS,Software Skill,Role,3
2,Linux,Software Skill,Transferable,3
2,Microsoft Excel,Software Skill,Role,3
2,Microsoft Office,Software Skill,Role,3
2,Microsoft SharePoint,Software Skill,Transferable,3
2,Reading Comprehension,Essential Skill,Role,3
2,SAS,Software Skill,Role,3
4,Active Learning,Essential Skill,Role,3
4,Critical Thinking,Essential Skill,Role,2
4,Email,Software Skill,Role,2
4,MATLAB,Software Skill,Transferable,3
4,Microsoft PowerPoint,Software Skill,Role,3
4,Monitoring,Essential Skill,Role,3
4,Salesforce,Software Skill,Transferable,3
5,Active Learning,Essential Skill,Role,3
5,Active Listening,Essential Skill,Role,4
5,Critical Thinking,Essential Skill,Role,3
5,Electronic Medical Record (EMR),Software Skill,Transferable,3
5,IBM SPSS Statistics,Software Skill,Role,3
5,Microsoft Excel,Software Skill,Role,3
5,Microsoft Project,Software Skill,Role,3
5,Science,Essential Skill,Role,4
5,Speaking,Essential Skill,Role,3
5,Writing,Essential Skill,Role,3
7,Active Learning,Essential Skill,Role,3
7,Adobe Creative Cloud,Software Skill,Transferable,2
7,Adobe Photoshop,Software Skill,Transferable,2
7,Critical Thinking,Essential Skill,Role,2
7,Electronic Medical Record (EMR),Software Skill,Role,2
7,Microsoft Excel,Software Skill,Role,2
7,Microsoft Office,Software Skill,Role,2
7,SAP,Software Skill,Role,2
8,Active Learning,Essential Skill,Role,2
8,Email,Software Skill,Role,2
8,Google Docs,Software Skill,Role,3
8,MEDITECH,Software Skill,Role,3
8,Microsoft Office,Software Skill,Role,3
8,Speaking,Essential Skill,Role,4
10,Google Docs,Software Skill,Role,4
10,Microsoft Excel,Software Skill,Role,3
10,Microsoft PowerPoint,Software Skill,Role,4
10,Reading Comprehension,Essential Skill,Role,3
10,SAP,Software Skill,Role,3
10,Science,Essential Skill,Role,3
10,Speaking,Essential Skill,Role,3
11,Active Listening,Essential Skill,Role,1
11,Critical Thinking,Essential Skill,Role,2
11,Electronic Medical Record (EMR),Software Skill,Role,1
11,Email,Software Skill,Role,3
11,Microsoft Office,Software Skill,Role,3
11,Microsoft Outlook,Software Skill,Role,2
11,Microsoft Word,Software Skill,Role,2
11,Speaking,Essential Skill,Role,1
11,Writing,Essential Skill,Role,2
12,Active Learning,Essential Skill,Role,3
12,Critical Thinking,Essential Skill,Role,3
12,Learning Strategies,Essential Skill,Role,4
12,Microsoft Office,Software Skill,Role,3
12,Monitoring,Essential Skill,Role,3
12,SAP,Software Skill,Role,4
12,Speaking,Essential Skill,Role,2
12,Writing,Essential Skill,Role,3
13,Active Learning,Essential Skill,Role,4
13,Adobe Creative Cloud,Software Skill,Transferable,3
13,Apache Hadoop,Software Skill,Role,3
13,Google Workspace,Software Skill,Role,3
13,Linux,Software Skill,Role,3
13,Microsoft Access,Software Skill,Role,3
13,Microsoft Excel,Software Skill,Role,3
13,Microsoft Outlook,Software Skill,Role,3
13,Salesforce,Software Skill,Role,4
13,Speaking,Essential Skill,Role,5
14,Adobe After Effects,Software Skill,Transferable,3
14,Adobe Photoshop,Software Skill,Transferable,3
14,Critical Thinking,Essential Skill,Role,2
14,Google Docs,Software Skill,Role,3
14,Microsoft Office,Software Skill,Role,3
14,Microsoft PowerPoint,Software Skill,Role,4
14,Microsoft Word,Software Skill,Role,3
14,Reading Comprehension,Essential Skill,Role,3
14,SAP,Software Skill,Role,3
14,Science,Essential Skill,Role,3
14,Writing,Essential Skill,Role,2
15,Critical Thinking,Essential Skill,Role,4
15,Email,Software Skill,Role,3
15,Microsoft Outlook,Software Skill,Role,3
15,Monitoring,Essential Skill,Role,3
15,Python,Software Skill,Transferable,3
15,SAS,Software Skill,Transferable,3
15,Speaking,Essential Skill,Role,4
15,Writing,Essential Skill,Role,3
16,Adobe Photoshop,Software Skill,Role,1
16,Atlassian JIRA,Software Skill,Transferable,3
16,ESRI ArcGIS,Software Skill,Role,3
16,Microsoft Office,Software Skill,Role,2
16,Microsoft Outlook,Software Skill,Transferable,3
16,Microsoft Project,Software Skill,Role,2
16,Reading Comprehension,Essential Skill,Role,2
16,Science,Essential Skill,Role,3
18,Active Listening,Essential Skill,Role,3
18,Critical Thinking,Essential Skill,Role,2
18,Email,Software Skill,Role,3
18,Linux,Software Skill,Transferable,2
18,Microsoft Excel,Software Skill,Role,2
18,Microsoft Word,Software Skill,Role,3
18,SAP,Software Skill,Role,2
19,Active Listening,Essential Skill,Role,2
19,Adobe Photoshop,Software Skill,Transferable,3
19,Microsoft Outlook,Software Skill,Role,3
19,Microsoft Word,Software Skill,Role,3
19,SAP,Software Skill,Role,3
19,Science,Essential Skill,Role,3
20,Active Listening,Essential Skill,Role,3
20,Adobe Acrobat,Software Skill,Role,3
20,Autodesk AutoCAD,Software Skill,Role,3
20,Critical Thinking,Essential Skill,Role,4
20,HubSpot,Software Skill,Transferable,5
20,Learning Strategies,Essential Skill,Role,3
20,MEDITECH,Software Skill,Transferable,4
20,Microsoft Excel,Software Skill,Role,4
20,Microsoft PowerPoint,Software Skill,Role,4
20,Monitoring,Essential Skill,Role,4
20,Speaking,Essential Skill,Role,3
20,Writing,Essential Skill,Role,3
21,Active Learning,Essential Skill,Role,3
21,Adobe Photoshop,Software Skill,Role,3
21,Applicant Tracking System (ATS),Software Skill,Transferable,3
21,ESRI ArcGIS,Software Skill,Role,3
21,IBM SPSS Statistics,Software Skill,Role,4
21,Mathematics,Essential Skill,Role,4
21,Microsoft Office,Software Skill,Role,3
21,Speaking,Essential Skill,Role,4
22,Microsoft Office,Software Skill,Role,2
22,Monitoring,Essential Skill,Role,2
22,Reading Comprehension,Essential Skill,Role,3
22,Speaking,Essential Skill,Role,3
22,Workday,Software Skill,Transferable,4
22,Writing,Essential Skill,Role,2
23,Active Learning,Essential Skill,Role,3
23,Apple macOS,Software Skill,Role,3
23,Atlassian Confluence,Software Skill,Role,5
23,Atlassian JIRA,Software Skill,Role,5
23,Critical Thinking,Essential Skill,Role,4
23,Google Analytics,Software Skill,Role,4
23,Learning Strategies,Essential Skill,Role,5
23,Microsoft Office,Software Skill,Role,5
23,Microsoft PowerPoint,Software Skill,Role,3
23,Monitoring,Essential Skill,Role,5
23,Reading Comprehension,Essential Skill,Role,4
23,Speaking,Essential Skill,Role,3
23,Writing,Essential Skill,Role,4
24,Active Learning,Essential Skill,Role,2
24,Critical Thinking,Essential Skill,Role,3
24,ESRI ArcGIS,Software Skill,Role,3
24,IBM SPSS Statistics,Software Skill,Role,3
24,Linux,Software Skill,Transferable,4
24,Microsoft Office,Software Skill,Role,3
24,Microsoft Outlook,Software Skill,Transferable,1
24,Science,Essential Skill,Role,3
24,Speaking,Essential Skill,Role,2
26,Critical Thinking,Essential Skill,Role,2
26,HubSpot,Software Skill,Transferable,3
26,Learning Strategies,Essential Skill,Role,3
26,Microsoft Office,Software Skill,Role,2
26,Reading Comprehension,Essential Skill,Role,3
26,SAP,Software Skill,Role,3
27,Active Listening,Essential Skill,Role,4
27,Apple macOS,Software Skill,Role,3
27,Microsoft Excel,Software Skill,Role,5
27,Microsoft Office,Software Skill,Role,3
27,Microsoft Visio,Software Skill,Transferable,3
27,Reading Comprehension,Essential Skill,Role,3
27,Salesforce,Software Skill,Role,3
27,Science,Essential Skill,Transferable,4
27,Writing,Essential Skill,Role,4
28,Critical Thinking,Essential Skill,Role,3
28,ESRI ArcGIS,Software Skill,Role,4
28,Email,Software Skill,Transferable,4
28,Microsoft Excel,Software Skill,Role,3
28,Microsoft Office,Software Skill,Role,4
28,Microsoft Outlook,Software Skill,Transferable,5
28,Microsoft PowerPoint,Software Skill,Role,3
28,Microsoft SharePoint,Software Skill,Role,3
28,Monitoring,Essential Skill,Role,4
28,Reading Comprehension,Essential Skill,Role,4
30,Active Learning,Essential Skill,Role,3
30,IBM SPSS Statistics,Software Skill,Role,2
30,MATLAB,Software Skill,Role,4
30,Mathematics,Essential Skill,Role,3
30,Microsoft Project,Software Skill,Role,3
30,Speaking,Essential Skill,Role,2
30,Writing,Essential Skill,Role,3
31,Active Learning,Essential Skill,Role,2
31,Active Listening,Essential Skill,Role,2
31,Autodesk AutoCAD,Software Skill,Transferable,3
31,MATLAB,Software Skill,Role,1
31,Reading Comprehension,Essential Skill,Role,1
32,Active Listening,Essential Skill,Role,5
32,Adobe Photoshop,Software Skill,Role,5
32,Critical Thinking,Essential Skill,Role,5
32,Google Docs,Software Skill,Transferable,4
32,Microsoft Excel,Software Skill,Role,5
32,Microsoft Office,Software Skill,Role,4
32,Microsoft Word,Software Skill,Transferable,4
32,Monitoring,Essential Skill,Role,4
32,Reading Comprehension,Essential Skill,Role,4
32,Speaking,Essential Skill,Role,4
32,Writing,Essential Skill,Role,3
33,Adobe Photoshop,Software Skill,Role,3
33,ESRI ArcGIS,Software Skill,Role,2
33,MATLAB,Software Skill,Role,1
33,Mathematics,Essential Skill,Role,2
33,Microsoft Office,Software Skill,Role,2
33,Microsoft Project,Software Skill,Role,4
33,Python,Software Skill,Role,2
33,R,Software Skill,Role,3
33,Reading Comprehension,Essential Skill,Role,3
33,Science,Essential Skill,Role,3
33,Writing,Essential Skill,Role,2
35,Active Learning,Essential Skill,Role,3
35,Active Listening,Essential Skill,Role,4
35,Adobe Illustrator,Software Skill,Role,5
35,Adobe Photoshop,Software Skill,Role,4
35,Mathematics,Essential Skill,Role,4
35,Microsoft Office,Software Skill,Role,4
35,Microsoft PowerPoint,Software Skill,Role,3
35,Reading Comprehension,Essential Skill,Role,3
35,Salesforce,Software Skill,Role,3
35,Speaking,Essential Skill,Role,4
35,Workday,Software Skill,Transferable,3
35,Writing,Essential Skill,Role,3
36,Active Learning,Essential Skill,Role,4
36,Active Listening,Essential Skill,Role,4
36,Amazon Web Services (AWS),Software Skill,Role,5
36,Critical Thinking,Essential Skill,Role,5
36,Mathematics,Essential Skill,Role,4
36,Microsoft Azure,Software Skill,Role,4
36,Microsoft Excel,Software Skill,Role,3
36,Microsoft Office,Software Skill,Role,4
36,Reading Comprehension,Essential Skill,Role,4
36,Salesforce,Software Skill,Role,4
36,Speaking,Essential Skill,Role,4
36,Writing,Essential Skill,Role,4
38,Active Learning,Essential Skill,Role,4
38,Active Listening,Essential Skill,Role,4
38,Adobe Acrobat,Software Skill,Role,4
38,Atlassian JIRA,Software Skill,Role,4
38,Autodesk AutoCAD,Software Skill,Role,5
38,Microsoft Excel,Software Skill,Role,4
38,Microsoft Office,Software Skill,Role,5
38,Microsoft PowerPoint,Software Skill,Role,4
38,Microsoft Word,Software Skill,Transferable,5
38,Oracle HRIS,Software Skill,Transferable,5
38,Reading Comprehension,Essential Skill,Role,4
38,Speaking,Essential Skill,Role,4
39,Learning Strategies,Essential Skill,Transferable,3
39,Microsoft Excel,Software Skill,Role,4
39,Microsoft Office,Software Skill,Role,4
39,Microsoft PowerPoint,Software Skill,Role,3
39,Microsoft Word,Software Skill,Role,4
39,R,Software Skill,Transferable,4
40,Apache Hadoop,Software Skill,Role,3
40,Critical Thinking,Essential Skill,Role,4
40,Google Workspace,Software Skill,Role,3
40,Linux,Software Skill,Role,4
40,Microsoft Azure,Software Skill,Role,3
40,Microsoft Excel,Software Skill,Role,3
40,Microsoft Office,Software Skill,Role,4
40,Microsoft Outlook,Software Skill,Role,4
40,Monitoring,Essential Skill,Role,4
40,Writing,Essential Skill,Role,3
41,Active Learning,Essential Skill,Role,4
41,Active Listening,Essential Skill,Role,2
41,Critical Thinking,Essential Skill,Role,3
41,Email,Software Skill,Role,3
41,Microsoft PowerPoint,Software Skill,Role,3
41,Monitoring,Essential Skill,Role,3
41,SAP,Software Skill,Role,3
42,Apple macOS,Software Skill,Role,4
42,Critical Thinking,Essential Skill,Role,3
42,HubSpot,Software Skill,Role,3
42,Microsoft Excel,Software Skill,Role,5
42,Microsoft Office,Software Skill,Role,4
42,Microsoft Outlook,Software Skill,Role,4
42,Microsoft Project,Software Skill,Role,4
42,Monitoring,Essential Skill,Role,3
42,Speaking,Essential Skill,Role,5
45,Active Listening,Essential Skill,Role,1
45,Critical Thinking,Essential Skill,Role,2
45,MATLAB,Software Skill,Role,3
45,Mathematics,Essential Skill,Role,3
45,Microsoft Access,Software Skill,Transferable,2
45,R,Software Skill,Role,3
45,SAS,Software Skill,Role,1
45,Salesforce,Software Skill,Transferable,3
45,Science,Essential Skill,Role,3
46,Critical Thinking,Essential Skill,Role,2
46,ESRI ArcGIS,Software Skill,Role,2
46,IBM SPSS Statistics,Software Skill,Role,3
46,Microsoft Azure,Software Skill,Transferable,2
46,Microsoft Office,Software Skill,Role,2
46,Python,Software Skill,Role,3
46,Reading Comprehension,Essential Skill,Role,3
46,SAS,Software Skill,Role,2
46,Writing,Essential Skill,Role,3
47,Active Listening,Essential Skill,Role,3
47,Critical Thinking,Essential Skill,Role,2
47,SAS,Software Skill,Transferable,2
47,Speaking,Essential Skill,Role,2
49,Adobe After Effects,Software Skill,Transferable,2
49,Apple macOS,Software Skill,Role,3
49,HubSpot,Software Skill,Role,3
49,IBM SPSS Statistics,Software Skill,Role,3
49,Mathematics,Essential Skill,Role,3
49,Microsoft Excel,Software Skill,Role,3
49,Microsoft Office,Software Skill,Role,1
49,Microsoft Outlook,Software Skill,Role,2
49,Microsoft Project,Software Skill,Role,3
49,Monitoring,Essential Skill,Role,3
49,SAP,Software Skill,Transferable,3
49,Writing,Essential Skill,Role,1
51,Active Listening,Essential Skill,Role,4
51,Microsoft Excel,Software Skill,Role,5
51,R,Software Skill,Role,2
51,Reading Comprehension,Essential Skill,Role,3
52,Active Listening,Essential Skill,Role,5
52,Adobe Acrobat,Software Skill,Role,2
52,Adobe Photoshop,Software Skill,Role,3
52,Amazon Web Services (AWS),Software Skill,Transferable,4
52,Critical Thinking,Essential Skill,Role,3
52,HubSpot,Software Skill,Transferable,2
52,Mathematics,Essential Skill,Role,3
52,Microsoft Excel,Software Skill,Role,3
52,Microsoft Outlook,Software Skill,Role,3
52,Reading Comprehension,Essential Skill,Role,3
52,Speaking,Essential Skill,Role,4
52,Writing,Essential Skill,Role,3
53,Active Learning,Essential Skill,Role,3
53,ESRI ArcGIS,Software Skill,Transferable,3
53,MEDITECH,Software Skill,Role,3
53,Python,Software Skill,Transferable,2
54,Critical Thinking,Essential Skill,Role,4
54,Email,Software Skill,Role,4
54,MEDITECH,Software Skill,Role,3
54,Microsoft Excel,Software Skill,Role,3
54,Microsoft PowerPoint,Software Skill,Role,3
54,Microsoft Word,Software Skill,Role,3
54,Reading Comprehension,Essential Skill,Role,3
