EmployeeID,Department,JobRole,ReviewPeriod,EngagementScore,JobSatisfactionScore,JobInvolvementScore,EnvironmentSatisfactionScore,WorkLifeBalanceScore,RelationshipSatisfactionScore,PerformanceRating,TrainingTimesLastYear
1,Sales,Sales Executive,2026-H1,53.3,100.0,66.7,33.3,0.0,0.0,3,0
2,Research & Development,Research Scientist,2026-H1,51.7,33.3,33.3,66.7,66.7,100.0,4,3
4,Research & Development,Laboratory Technician,2026-H1,61.7,66.7,33.3,100.0,66.7,33.3,3,3
5,Research & Development,Research Scientist,2026-H1,73.4,66.7,66.7,100.0,66.7,66.7,3,3
7,Research & Development,Laboratory Technician,2026-H1,46.7,33.3,66.7,0.0,66.7,100.0,3,3
8,Research & Development,Laboratory Technician,2026-H1,78.3,100.0,66.7,100.0,33.3,66.7,3,2
10,Research & Development,Laboratory Technician,2026-H1,43.3,0.0,100.0,66.7,33.3,0.0,4,3
11,Research & Development,Laboratory Technician,2026-H1,70.0,66.7,66.7,100.0,66.7,33.3,4,2
12,Research & Development,Manufacturing Director,2026-H1,61.7,66.7,33.3,100.0,66.7,33.3,4,2
13,Research & Development,Healthcare Representative,2026-H1,58.4,66.7,66.7,66.7,33.3,33.3,3,3
14,Research & Development,Laboratory Technician,2026-H1,51.7,33.3,100.0,0.0,66.7,66.7,3,5
15,Research & Development,Laboratory Technician,2026-H1,68.3,66.7,33.3,100.0,66.7,100.0,3,3
16,Research & Development,Research Scientist,2026-H1,51.7,66.7,66.7,0.0,33.3,100.0,3,1
18,Research & Development,Laboratory Technician,2026-H1,70.0,100.0,66.7,33.3,66.7,66.7,3,2
19,Research & Development,Laboratory Technician,2026-H1,55.0,66.7,33.3,66.7,66.7,33.3,3,4
20,Research & Development,Manufacturing Director,2026-H1,48.3,0.0,100.0,33.3,66.7,66.7,3,1
21,Research & Development,Research Scientist,2026-H1,50.0,33.3,100.0,0.0,33.3,100.0,3,5
22,Research & Development,Laboratory Technician,2026-H1,83.3,100.0,100.0,100.0,33.3,33.3,3,2
