MissingSkill,EmployeesMissing,AvgImportance,DepartmentsAffected,RolesAffected,pct_of_workforce,Severity,SeverityRelative
Active Learning,879,3.45,3,9,59.8,HIGH,HIGH
Writing,871,3.48,3,9,59.3,HIGH,HIGH
Critical Thinking,814,3.66,3,9,55.4,HIGH,HIGH
Speaking,801,3.87,3,9,54.5,HIGH,HIGH
Active Listening,798,3.91,3,9,54.3,HIGH,HIGH
Microsoft Excel,782,4.5,3,9,53.2,HIGH,HIGH
Reading Comprehension,779,3.76,3,9,53.0,HIGH,HIGH
Microsoft Office,742,4.5,3,9,50.5,HIGH,HIGH
Monitoring,712,3.28,3,8,48.4,HIGH,HIGH
Microsoft Outlook,559,4.09,3,6,38.0,HIGH,MEDIUM
Adobe Photoshop,549,3.5,3,5,37.3,HIGH,MEDIUM
Mathematics,545,2.86,2,4,37.1,HIGH,MEDIUM
Microsoft PowerPoint,539,4.13,3,7,36.7,HIGH,MEDIUM
Adobe Acrobat,428,3.5,3,5,29.1,HIGH,MEDIUM
Science,374,3.61,1,3,25.4,HIGH,MEDIUM
Adobe InDesign,321,3.5,2,2,21.8,HIGH,MEDIUM
IBM SPSS Statistics,307,3.5,2,3,20.9,HIGH,MEDIUM
Microsoft Project,292,3.5,2,3,19.9,HIGH,LOW
Salesforce,283,4.5,2,3,19.3,HIGH,LOW
SAP,242,3.83,1,2,16.5,HIGH,LOW
Microsoft Word,238,3.5,2,2,16.2,HIGH,LOW
Adobe Illustrator,211,3.5,1,1,14.4,HIGH,LOW
Python,209,3.5,1,1,14.2,HIGH,LOW
Adobe Creative Cloud,207,3.5,1,1,14.1,HIGH,LOW
ESRI ArcGIS,206,3.5,1,2,14.0,HIGH,LOW
SAS,202,3.5,1,1,13.7,HIGH,LOW
Electronic Medical Record (EMR),189,3.0,1,1,12.9,HIGH,LOW
Email,186,3.0,1,1,12.7,HIGH,LOW
MATLAB,177,3.5,1,1,12.0,HIGH,LOW
Learning Strategies,174,3.33,3,3,11.8,HIGH,LOW
R,173,4.5,1,1,11.8,HIGH,LOW
Google Docs,169,3.5,1,1,11.5,HIGH,LOW
MEDITECH,168,3.5,1,1,11.4,HIGH,LOW
Autodesk AutoCAD,147,3.5,3,2,10.0,HIGH,LOW
Microsoft Access,132,3.5,1,2,9.0,HIGH,LOW
Apple macOS,104,3.5,3,2,7.1,HIGH,LOW
Adobe After Effects,96,3.5,1,1,6.5,MEDIUM,LOW
Apache Hadoop,93,3.5,1,1,6.3,MEDIUM,LOW
Microsoft Azure,92,3.5,1,1,6.3,MEDIUM,LOW
Linux,90,3.5,1,1,6.1,MEDIUM,LOW
Google Workspace,89,3.5,1,1,6.1,MEDIUM,LOW
Amazon Web Services (AWS),73,3.5,1,1,5.0,MEDIUM,LOW
Atlassian Confluence,66,3.5,3,1,4.5,MEDIUM,LOW
Google Analytics,63,3.5,3,1,4.3,MEDIUM,LOW
Atlassian JIRA,59,3.5,3,1,4.0,MEDIUM,LOW
HubSpot,53,3.5,1,1,3.6,MEDIUM,LOW
Microsoft Visio,50,3.5,1,1,3.4,MEDIUM,LOW
Microsoft SharePoint,47,3.5,1,1,3.2,LOW,LOW
Oracle HRIS,36,4.0,1,1,2.4,LOW,LOW
Applicant Tracking System (ATS),32,4.0,1,1,2.2,LOW,LOW
Cisco Webex,32,3.5,1,1,2.2,LOW,LOW
Workday,29,4.5,1,1,2.0,LOW,LOW
