EmployeeID,Department,JobRole,MissingSkill,Recommendation,CourseID,CourseTitle,Provider,Level,DurationHours,MatchType,SkillImportance,OrgSeverity,AttritionRisk,Priority,Rank
1,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,HIGH,9.45,1
1,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
1,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,HIGH,9.45,3
2,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
2,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,LOW,6.375,2
2,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,LOW,6.18,3
4,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
4,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
4,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,3
5,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
5,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
5,Research & Development,Research Scientist,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.0,HIGH,LOW,6.0,3
7,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,1
7,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,HIGH,7.602,2
7,Research & Development,Laboratory Technician,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,3.5,HIGH,HIGH,7.35,3
8,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
8,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,2
8,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,LOW,5.43,3
10,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,1
10,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,MEDIUM,6.244,2
10,Research & Development,Laboratory Technician,Microsoft Word,Learn Microsoft Word,C011,Business Documents That Get Read,LinkedIn Learning,Beginner,8,tag,3.5,HIGH,MEDIUM,6.037,3
11,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
11,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,MEDIUM,6.469,2
11,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,MEDIUM,6.037,3
12,Research & Development,Manufacturing Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
12,Research & Development,Manufacturing Director,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
12,Research & Development,Manufacturing Director,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
13,Research & Development,Healthcare Representative,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
13,Research & Development,Healthcare Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,2
13,Research & Development,Healthcare Representative,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,3
14,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
14,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,LOW,5.43,2
14,Research & Development,Laboratory Technician,MEDITECH,Learn MEDITECH,C032,Clinical Records and Patient Data Systems,HIMSS,Intermediate,18,tag,3.5,HIGH,LOW,5.25,3
15,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
15,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,2
15,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,MEDIUM,6.469,3
16,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
16,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,MEDIUM,7.762,2
16,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,MEDIUM,7.331,3
18,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
18,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,2
18,Research & Development,Laboratory Technician,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,3.5,HIGH,LOW,5.25,3
19,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
19,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
19,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,3
20,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
20,Research & Development,Manufacturing Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
20,Research & Development,Manufacturing Director,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
21,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
21,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,2
21,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,LOW,6.375,3
22,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
22,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,MEDIUM,6.244,2
22,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,MEDIUM,6.037,3
23,Sales,Manager,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
23,Sales,Manager,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
23,Sales,Manager,Adobe Acrobat,Learn Adobe Acrobat,C019,Working with PDFs and Document Workflows,Adobe,Beginner,6,tag,3.5,HIGH,LOW,5.25,3
24,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
24,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,MEDIUM,7.762,2
24,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,MEDIUM,7.331,3
26,Research & Development,Manufacturing Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
26,Research & Development,Manufacturing Director,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
26,Research & Development,Manufacturing Director,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
27,Sales,Sales Representative,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,HIGH,8.148,1
27,Sales,Sales Representative,IBM SPSS Statistics,Learn IBM SPSS Statistics,C003,Applied Statistics with SPSS,IBM SkillsBuild,Beginner,16,tag,3.5,HIGH,HIGH,7.35,2
27,Sales,Sales Representative,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,3.5,HIGH,HIGH,7.35,3
28,Research & Development,Research Director,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,LOW,6.18,1
28,Research & Development,Research Director,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
28,Research & Development,Research Director,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,LOW,5.82,3
30,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
30,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,MEDIUM,7.762,2
30,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,3
31,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
31,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,MEDIUM,7.762,2
31,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,3
