JobRole,ONET_SOC_Code,SkillName,SkillType,SkillCategory,Importance,RankInRole
Sales Executive,41-4012.00,Active Listening,Essential Skill,Active Listening,4.0,1
Sales Executive,41-4012.00,Speaking,Essential Skill,Speaking,4.0,2
Sales Executive,41-4012.00,Critical Thinking,Essential Skill,Critical Thinking,3.5,3
Sales Executive,41-4012.00,Reading Comprehension,Essential Skill,Reading Comprehension,3.38,4
Sales Executive,41-4012.00,Writing,Essential Skill,Writing,3.25,5
Sales Executive,41-4012.00,Active Learning,Essential Skill,Active Learning,3.12,6
Sales Executive,41-4012.00,Monitoring,Essential Skill,Monitoring,3.12,7
Sales Executive,41-4012.00,Mathematics,Essential Skill,Mathematics,2.25,8
Sales Executive,41-4012.00,Microsoft Outlook,Software Skill,Electronic mail software,4.5,1
Sales Executive,41-4012.00,Microsoft Office,Software Skill,Office suite software,4.5,2
Sales Executive,41-4012.00,Salesforce,Software Skill,Customer relationship management CRM software,4.5,3
Sales Executive,41-4012.00,Microsoft PowerPoint,Software Skill,Presentation software,4.5,4
Sales Executive,41-4012.00,Microsoft Excel,Software Skill,Spreadsheet software,4.5,5
Sales Executive,41-4012.00,Adobe Illustrator,Software Skill,Graphics or photo imaging software,3.5,6
Sales Executive,41-4012.00,Adobe Photoshop,Software Skill,Graphics or photo imaging software,3.5,7
Sales Executive,41-4012.00,Adobe InDesign,Software Skill,Desktop publishing software,3.5,8
Sales Executive,41-4012.00,Adobe Creative Cloud,Software Skill,Graphics or photo imaging software,3.5,9
Sales Executive,41-4012.00,Adobe Acrobat,Software Skill,Document management software,3.5,10
Sales Representative,41-3091.00,Active Listening,Essential Skill,Active Listening,3.88,1
Sales Representative,41-3091.00,Speaking,Essential Skill,Speaking,3.88,2
Sales Representative,41-3091.00,Reading Comprehension,Essential Skill,Reading Comprehension,3.62,3
Sales Representative,41-3091.00,Writing,Essential Skill,Writing,3.38,4
Sales Representative,41-3091.00,Active Learning,Essential Skill,Active Learning,3.38,5
Sales Representative,41-3091.00,Critical Thinking,Essential Skill,Critical Thinking,3.38,6
Sales Representative,41-3091.00,Monitoring,Essential Skill,Monitoring,3.12,7
Sales Representative,41-3091.00,Mathematics,Essential Skill,Mathematics,2.62,8
Sales Representative,41-3091.00,Microsoft Excel,Software Skill,Spreadsheet software,4.5,1
Sales Representative,41-3091.00,Microsoft Office,Software Skill,Office suite software,4.5,2
Sales Representative,41-3091.00,Salesforce,Software Skill,Customer relationship management CRM software,4.5,3
Sales Representative,41-3091.00,HubSpot,Software Skill,Sales and marketing software,3.5,4
Sales Representative,41-3091.00,Apple macOS,Software Skill,Operating system software,3.5,5
Sales Representative,41-3091.00,Microsoft Project,Software Skill,Project management software,3.5,6
Sales Representative,41-3091.00,Microsoft PowerPoint,Software Skill,Presentation software,3.5,7
Sales Representative,41-3091.00,IBM SPSS Statistics,Software Skill,Analytical or scientific software,3.5,8
Sales Representative,41-3091.00,Microsoft Outlook,Software Skill,Electronic mail software,3.5,9
Sales Representative,41-3091.00,Microsoft Word,Software Skill,Word processing software,3.5,10
Healthcare Representative,41-4011.00,Speaking,Essential Skill,Speaking,4.25,1
